INFO 07-08 02:00:03 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 639.9 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 23.0%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:18 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 599.1 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.6%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:18 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 599.1 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.6%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:23 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 596.7 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.9%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:23 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 596.7 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.9%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:28 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 594.3 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 27.1%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:28 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 594.3 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 27.1%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:33 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 589.5 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 27.3%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:33 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 589.5 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 27.3%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:38 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 587.9 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 27.6%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:38 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 587.9 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 27.6%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:43 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 586.3 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 27.8%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:43 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 586.3 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 27.8%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:48 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 583.9 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 28.0%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:48 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 583.9 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 28.0%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:53 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 581.5 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 28.3%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:53 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 581.5 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 28.3%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:58 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 580.7 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 28.5%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:58 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 580.7 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 28.5%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:02:03 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 577.5 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 28.7%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:02:03 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 577.5 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 28.7%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:02:08 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 575.9 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 28.9%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:02:08 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 575.9 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 28.9%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:02:13 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 574.3 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 29.2%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:02:13 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 574.3 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 29.2%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:02:18 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 572.6 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 29.4%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:02:18 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 572.6 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 29.4%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:02:23 [loggers.py:248] Engine 000: Avg prompt throughput: 250.6 tokens/s, Avg generation throughput: 611.1 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 19.4%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.6%
INFO 07-08 02:02:23 [loggers.py:248] Engine 000: Avg prompt throughput: 250.6 tokens/s, Avg generation throughput: 611.1 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 19.4%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.6%
INFO 07-08 02:02:28 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 684.6 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 19.6%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.6%
INFO 07-08 02:02:28 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 684.6 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 19.6%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.6%
INFO 07-08 02:02:33 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 680.7 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 19.9%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.6%
INFO 07-08 02:02:33 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 680.7 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 19.9%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.6%
INFO 07-08 02:02:38 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 673.5 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 20.2%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.6%
INFO 07-08 02:02:38 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 673.5 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 20.2%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.6%
INFO 07-08 02:02:43 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 668.7 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 20.5%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.6%
INFO 07-08 02:02:43 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 668.7 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 20.5%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.6%
INFO 07-08 02:02:48 [loggers.py:248] Engine 000: Avg prompt throughput: 254.6 tokens/s, Avg generation throughput: 688.7 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 15.4%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.6%
INFO 07-08 02:02:48 [loggers.py:248] Engine 000: Avg prompt throughput: 254.6 tokens/s, Avg generation throughput: 688.7 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 15.4%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.6%
INFO 07-08 02:02:53 [loggers.py:248] Engine 000: Avg prompt throughput: 248.6 tokens/s, Avg generation throughput: 731.5 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 15.6%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.6%
INFO 07-08 02:02:53 [loggers.py:248] Engine 000: Avg prompt throughput: 248.6 tokens/s, Avg generation throughput: 731.5 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 15.6%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.6%
INFO 07-08 02:02:58 [loggers.py:248] Engine 000: Avg prompt throughput: 254.6 tokens/s, Avg generation throughput: 732.3 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 15.8%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.6%
INFO 07-08 02:02:58 [loggers.py:248] Engine 000: Avg prompt throughput: 254.6 tokens/s, Avg generation throughput: 732.3 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 15.8%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.6%
INFO 07-08 02:03:03 [loggers.py:248] Engine 000: Avg prompt throughput: 254.6 tokens/s, Avg generation throughput: 721.9 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 16.1%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.6%
INFO 07-08 02:03:03 [loggers.py:248] Engine 000: Avg prompt throughput: 254.6 tokens/s, Avg generation throughput: 721.9 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 16.1%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.6%
INFO 07-08 02:03:08 [loggers.py:248] Engine 000: Avg prompt throughput: 254.6 tokens/s, Avg generation throughput: 719.1 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 16.3%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
INFO 07-08 02:03:08 [loggers.py:248] Engine 000: Avg prompt throughput: 254.6 tokens/s, Avg generation throughput: 719.1 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 16.3%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
INFO 07-08 02:03:13 [loggers.py:248] Engine 000: Avg prompt throughput: 254.6 tokens/s, Avg generation throughput: 714.1 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 16.5%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
INFO 07-08 02:03:13 [loggers.py:248] Engine 000: Avg prompt throughput: 254.6 tokens/s, Avg generation throughput: 714.1 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 16.5%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
INFO 07-08 02:03:18 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 604.7 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 16.6%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
INFO 07-08 02:03:18 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 605.2 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 16.6%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
INFO 07-08 02:03:23 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 546.3 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 16.8%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
INFO 07-08 02:03:23 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 545.8 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 16.8%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
INFO 07-08 02:03:28 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 543.5 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 17.0%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
INFO 07-08 02:03:28 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 543.5 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 17.0%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
INFO 07-08 02:03:33 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 539.9 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 17.2%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
INFO 07-08 02:03:33 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 539.9 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 17.2%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
INFO 07-08 02:03:38 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 537.5 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 17.5%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
INFO 07-08 02:03:38 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 537.5 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 17.5%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
INFO 07-08 02:03:43 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 535.7 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 17.7%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
INFO 07-08 02:03:43 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 535.7 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 17.7%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
INFO 07-08 02:03:48 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 534.5 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 17.9%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
INFO 07-08 02:03:48 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 534.5 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 17.9%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
INFO 07-08 02:03:53 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 56.2 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
INFO 07-08 02:03:53 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 56.2 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
INFO 07-08 02:03:58 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
INFO 07-08 02:03:58 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 28.0%, MM cache hit rate: 81.7%
